Season,Date,GameID,posteam,DefensiveTeam,qtr,down,ydstogo,yrdline100,PlayType,Yards.Gained,PassLocation,RunLocation,RushAttempt,PassAttempt,QBHit,Touchdown,Fumble,InterceptionThrown,Accepted.Penalty,Penalty.Yards,PenaltyType,PenalizedTeam,PenaltySide
2009,2009-09-13,2009091312,CHI,GB,4,2.0,7,12.0,Run,6,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,3.0,1,6.0,Run,1,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,5,5.0,Run,2,,middle,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,2.0,3,3.0,Run,0,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,3.0,3,3.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,4.0,3,3.0,Field Goal,0,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-13,2009091312,CHI,GB,4,1.0,10,62.0,Pass,0,left,,0,1,0,0,0,1,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,1,1.0,10,71.0,Run,2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,1,2.0,8,69.0,Pass,2,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,1,3.0,6,67.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,1,4.0,6,67.0,Punt,0,,,0,0,0,0,0,0,1,7,PERSONAL FOUL,PIT,Defensive
2009,2009-09-20,2009092011,CHI,PIT,1,1.0,10,70.0,Pass,6,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,1,2.0,4,64.0,Run,1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,1,3.0,3,63.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,1,4.0,3,63.0,Punt,-1,,,0,0,0,0,0,0,1,10,UNKNOWN,PIT,Defensive
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,10,91.0,Pass,11,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,10,80.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,2.0,10,80.0,Pass,7,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,3.0,3,73.0,Pass,13,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,20,70.0,Pass,5,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,2.0,15,65.0,Pass,6,middle,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,3.0,9,59.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,4.0,9,59.0,Punt,8,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,10,82.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,2.0,10,82.0,Run,15,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,10,67.0,Pass,22,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,10,45.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,2.0,10,45.0,Pass,7,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,10,33.0,Run,0,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,2.0,10,33.0,Pass,16,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,10,17.0,Pass,7,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,2.0,3,10.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,3.0,3,10.0,Pass,4,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,1.0,6,6.0,Run,1,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,2.0,5,5.0,Run,-1,,left,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,2,3.0,6,6.0,Pass,6,right,,0,1,0,1,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,1.0,10,65.0,Pass,0,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,2.0,10,65.0,Run,2,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,3.0,8,63.0,Pass,0,right,,0,1,0,0,0,0,1,10,UNKNOWN,CHI,Offensive
2009,2009-09-20,2009092011,CHI,PIT,3,4.0,18,73.0,Punt,0,,,0,0,0,0,0,0,1,10,UNKNOWN,PIT,Defensive
2009,2009-09-20,2009092011,CHI,PIT,3,1.0,10,77.0,Pass,7,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,2.0,8,75.0,Run,0,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,3.0,13,80.0,Pass,15,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,2.0,10,65.0,Run,5,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,3.0,5,60.0,Pass,0,left,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,4.0,5,60.0,Punt,19,,,0,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,1.0,10,87.0,Pass,9,right,,0,1,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,2.0,1,78.0,Run,3,,right,1,0,0,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,1.0,10,75.0,Sack,-4,,,0,0,1,0,0,0,0,0,,,None
2009,2009-09-20,2009092011,CHI,PIT,3,2.0,14,79.0,Pass,1,right,,0,1,0,0,0,0,0,0,,,None
